,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
166,GBM_grid_1_AutoML_1_20241015_104849_model_14,0.7991031200486056,0.1593997409832567,0.2645315159213409,0.3477429384925126,0.20127211523143926,0.040510464369737764
167,GBM_grid_1_AutoML_1_20241015_104849_model_734,0.7990918621412658,0.1602123372714615,0.26232707995686444,0.336524463611346,0.2016900823403266,0.04067888931444772
168,GBM_grid_1_AutoML_1_20241015_104849_model_608,0.7990303308276051,0.15904990421124615,0.2584130145970944,0.3437959995711273,0.20128728901965326,0.04051657272088142
169,GBM_grid_1_AutoML_1_20241015_104849_model_114,0.7990123420021206,0.15920643180657584,0.2640229423220302,0.3484888195280018,0.20138375801702893,0.04055541799306126
170,GBM_grid_1_AutoML_1_20241015_104849_model_891,0.7989633194743927,0.15991720957545633,0.2625357529613393,0.34824114556652885,0.2014476008478527,0.04058113588735579
171,GBM_grid_1_AutoML_1_20241015_104849_model_886,0.7988569352283152,0.1594614228585065,0.2589768914460341,0.33573700575404153,0.20168393191735287,0.040676408393643435
172,GBM_grid_1_AutoML_1_20241015_104849_model_338,0.7988562204405475,0.1595147902141365,0.26294919986274345,0.3467465243444801,0.2014812887353454,0.04059470971045562
173,GBM_grid_1_AutoML_1_20241015_104849_model_57,0.7988452603614444,0.15902933803835262,0.2587626618775578,0.3415219022885121,0.20121019287085096,0.04048554171512505
174,GBM_grid_1_AutoML_1_20241015_104849_model_586,0.7988348363731669,0.15928317067568584,0.27223877107191896,0.33887599623545106,0.20097469921623792,0.040390829725057316
175,GBM_grid_1_AutoML_1_20241015_104849_model_341,0.7988004669946749,0.16011939138706674,0.27300672117961844,0.3434839947105705,0.20135804050173364,0.0405450604746978
176,GBM_grid_1_AutoML_1_20241015_104849_model_573,0.7987824781691902,0.16021732757666854,0.2640901043028846,0.34740472474714384,0.2019330863439668,0.040776971360399934
177,GBM_grid_1_AutoML_1_20241015_104849_model_889,0.7987676463230126,0.16069209420340225,0.2724248661662205,0.32880368353962897,0.20160547219151276,0.04064476641756281
178,GBM_grid_1_AutoML_1_20241015_104849_model_1030,0.7987216616432969,0.16272077009260758,0.2474477500295776,0.3443431696072241,0.20339881187542191,0.041371076672333286
179,GBM_grid_1_AutoML_1_20241015_104849_model_1108,0.7986797869932453,0.15989742654608266,0.2605897006139076,0.356256299067202,0.20161241476118716,0.04064756578583695
180,GBM_grid_1_AutoML_1_20241015_104849_model_551,0.7986735921659261,0.162437021805862,0.2604761961922981,0.3408096162781001,0.20284565705370405,0.04114636058554892
181,GBM_grid_1_AutoML_1_20241015_104849_model_240,0.7986324323036419,0.15929112022597647,0.2654045718104481,0.3485457642868205,0.20122823241564744,0.04049280152112582
182,GBM_grid_1_AutoML_1_20241015_104849_model_587,0.798545645155526,0.15942207983743928,0.2513855161155906,0.33803445277039823,0.20181552801461275,0.04072950734781694
183,GBM_grid_1_AutoML_1_20241015_104849_model_172,0.7984941804362587,0.16227335568067874,0.2758271816372358,0.3199185141944937,0.20256153350012254,0.041031174853921264
184,GBM_grid_1_AutoML_1_20241015_104849_model_1059,0.7984751789947702,0.16033460499886729,0.26728595097085683,0.3437624045460502,0.2017435943232986,0.04070047785048368
185,GBM_grid_1_AutoML_1_20241015_104849_model_885,0.7984671376323846,0.15909142191544806,0.2657873802809609,0.332128280578025,0.20129295159282112,0.04051885236094984
186,GBM_grid_1_AutoML_1_20241015_104849_model_370,0.7984048915309562,0.1606164251275101,0.2564361675009243,0.3604070716336473,0.202264348051858,0.04091086649284314
187,GBM_grid_1_AutoML_1_20241015_104849_model_421,0.7983981606128114,0.15959917886897448,0.26929038158099344,0.3350685600600421,0.20082995255555453,0.040332669843466284
188,GBM_grid_1_AutoML_1_20241015_104849_model_934,0.7983626594870207,0.15976092521924098,0.2588652795118522,0.3528075672198329,0.20178561203865472,0.04071743322581448
